
// Item_Summon
Item_Summon_name												Puzzlebox
Item_ManaBurn1_IMPACT_effect									Target an enemy unit to apply a ^oTapering 60% Movement Speed Slow to them for 4 seconds^*. Deals 800 True Damage to summoned units and instantly kills illusions.
Item_ManaBurn1_ATTACK_IMPACT_effect:manacombustion				Burns up to ^o{40,60,80} of the target's Mana^* and deals Physical Damage equal to 50% of the Mana burnt.\n\nThis effect propagates to illusions for 33% of power.

// Item_Pierce
Item_Pierce_name												Shieldbreaker
Item_Pierce_description											After obtaining this item, the recipe may be re-purchased to upgrade it. ^rCan be upgraded 2 times.^*
Item_Pierce_description2										On attack, applies ^oBroken Armor^* to target for ^o5 seconds^*.\n\nAt ^ylevel 3^*, applies a stacking ^o-1 Armor^* debuff to ^oBuildings^* and Gadgets you attack. Max of ^c7 stacks^*.
Item_Pierce_description_simple									Reduces enemy Armor on attack.\n^rCan be upgraded 2 times.
Item_Pierce_search_terms										shieldbreaker,sheildbreaker,shieldbraker,sheildbraker,sb,stygiandesolator,stygiandesolater,styg,stygian,deso,desolator,sd,damage,dmg,reduction,armorreduction
Item_Pierce_effect_header										Broken Armor Effect(s)
Item_Pierce_shop_flavor											Forged by Hellbourne slaves, Shieldbreaker mauls appear to be little more than huge spiked clubs, but the despair and anger poured into their makers gives them the power to inflict massive harm. Each blow of a Shieldbreaker destroys some of its victim's armor, as if the weapon hungered to reach the flesh and blood beneath.
Item_Pierce_shop_categories										Filter_Damage,Filter_Modifier
